timestamp,open,high,low,close,volume
2025-08-15 14:40:30,0.020784,0.020876,0.020781,0.02086,10701764
2025-08-15 14:41:00,0.020861,0.020925,0.020845,0.020855,7336238
2025-08-15 14:41:30,0.02084,0.020882,0.020816,0.02082,8307920
2025-08-15 14:42:00,0.020819,0.020846,0.020776,0.020789,12027462
2025-08-15 14:42:30,0.020789,0.020818,0.020732,0.020807,15268719
2025-08-15 14:43:00,0.02081,0.020816,0.020605,0.020652,26754288
2025-08-15 14:43:30,0.020653,0.020706,0.020619,0.020673,12372711
2025-08-15 14:44:00,0.020675,0.020726,0.020613,0.020625,11262230
2025-08-15 14:44:30,0.020633,0.020661,0.020559,0.020581,15782408
2025-08-15 14:45:00,0.020579,0.020708,0.020573,0.020617,19131592
2025-08-15 14:45:30,0.020616,0.02062,0.0204,0.020519,38496804
2025-08-15 14:46:00,0.020519,0.020655,0.020412,0.020565,29638155
2025-08-15 14:46:30,0.020569,0.020643,0.02055,0.02055,14679303
2025-08-15 14:47:00,0.02055,0.020598,0.02042,0.020432,16473020
2025-08-15 14:47:30,0.02042,0.020493,0.020307,0.020384,32238939
2025-08-15 14:48:00,0.020384,0.020499,0.020356,0.02038,29979205
2025-08-15 14:48:30,0.020382,0.020432,0.0203,0.02042,28623335
2025-08-15 14:49:00,0.020421,0.020519,0.020353,0.020505,21497597
2025-08-15 14:49:30,0.0205,0.020524,0.020345,0.020358,21366681
2025-08-15 14:50:00,0.02036,0.020374,0.020149,0.020371,47669211
2025-08-15 14:50:30,0.020413,0.020478,0.020371,0.020396,18635579
2025-08-15 14:51:00,0.020394,0.0204,0.0202,0.020228,13100168
2025-08-15 14:51:30,0.020212,0.020228,0.02,0.020169,45772648
2025-08-15 14:52:00,0.020167,0.020259,0.020126,0.020154,22813995
2025-08-15 14:52:30,0.020158,0.020264,0.020107,0.02026,17739311
2025-08-15 14:53:00,0.020258,0.020278,0.020155,0.020267,14198760
2025-08-15 14:53:30,0.02027,0.02029,0.020178,0.020192,12361106
2025-08-15 14:54:00,0.020192,0.020197,0.019861,0.019952,41740365
2025-08-15 14:54:30,0.019951,0.020114,0.01995,0.020114,18368087
2025-08-15 14:55:00,0.02011,0.020218,0.020041,0.020065,22167319
2025-08-15 14:55:30,0.02006,0.020065,0.019938,0.019973,20998776
2025-08-15 14:56:00,0.019975,0.020085,0.019958,0.020007,19145607
2025-08-15 14:56:30,0.02,0.020036,0.019985,0.020011,13401604
