time,open,high,low,close,SMA UCL Bands,SMA LCL Bands,Candles (Цена откр.),Candles (Макс.,Candles (Мин.),Candles (Закрыть),Z-Score,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Down Trendline,Up Trendline,Volume,Volume MA,24H Volume
1755269130,0.020616,0.02062,0.0204,0.020519,NaN,NaN,0,0,0,0,-2.008822899270909,0,1,2,3,-1,-2,-3,NaN,NaN,38496804,30072192.965,600833945.3964062
1755269160,0.020519,0.020655,0.020412,0.020565,NaN,NaN,0,0,0,0,-1.69539401783477,0,1,2,3,-1,-2,-3,0.020654864864864873,NaN,29638155,30186957.48,600833945.3964062
1755269190,0.020569,0.020643,0.02055,0.02055,NaN,NaN,0,0,0,0,-1.7168426741997884,0,1,2,3,-1,-2,-3,NaN,NaN,14679303,30226313.585,601655886.4705701
1755269220,0.02055,0.020598,0.02042,0.020432,NaN,NaN,0,0,0,0,-2.2462430317164404,0,1,2,3,-1,-2,-3,0.020640648648648657,NaN,16473020,30238713.235,601655886.4705701
1755269250,0.02042,0.020493,0.020307,0.020384,NaN,NaN,0,0,0,0,-2.368328383661169,0,1,2,3,-1,-2,-3,0.02063354054054055,NaN,32238939,30247310.4,602597274.970306
1755269280,0.020384,0.020499,0.020356,0.02038,NaN,NaN,0,0,0,0,-2.270597361933784,0,1,2,3,-1,-2,-3,0.02062643243243244,NaN,29979205,29276701.035,602597274.970306
1755269310,0.020382,0.020432,0.0203,0.02042,NaN,NaN,0,0,0,0,-1.99334101325132,0,1,2,3,-1,-2,-3,0.020619324324324333,NaN,28623335,29272752.79,603729628.081531
1755269340,0.020421,0.020519,0.020353,0.020505,NaN,NaN,0,0,0,0,-1.5352907041646222,0,1,2,3,-1,-2,-3,0.020612216216216225,NaN,21497597,29228463.585,603729628.081531
1755269370,0.0205,0.020524,0.020345,0.020358,NaN,NaN,0,0,0,0,-2.13279046269481,0,1,2,3,-1,-2,-3,0.020605108108108117,NaN,21366681,29101184.04,604544842.68769
1755269400,0.02036,0.020374,0.020149,0.020371,NaN,NaN,0,0,0,0,-1.9870756854477296,0,1,2,3,-1,-2,-3,NaN,NaN,47669211,29202800.83,604544842.68769
1755269430,0.020413,0.020478,0.020371,0.020396,NaN,NaN,0,0,0,0,-1.8052086403005687,0,1,2,3,-1,-2,-3,0.020871,NaN,18635579,29203604.44,605709694.80467
1755269460,0.020394,0.0204,0.0202,0.020228,NaN,NaN,0,0,0,0,-2.4099880215382004,0,1,2,3,-1,-2,-3,0.020862000000000002,NaN,13100168,29185121.31,605709694.80467
1755269490,0.020212,0.020228,0.02,0.020169,NaN,NaN,0,0,0,0,-2.5119230492924562,0,1,2,3,-1,-2,-3,0.020853000000000003,NaN,45772648,29215781.89,606750004.2766241
1755269520,0.020167,0.020259,0.020126,0.020154,NaN,NaN,0,0,0,0,-2.4344411145011127,0,1,2,3,-1,-2,-3,0.020844000000000005,NaN,22813995,29264441.915,606750004.2766241
1755269550,0.020158,0.020264,0.020107,0.02026,NaN,NaN,0,0,0,0,-1.941394361408025,0,1,2,3,-1,-2,-3,0.020835000000000006,NaN,17739311,29258882.295,607509748.978579
1755269580,0.020258,0.020278,0.020155,0.020267,NaN,NaN,0,0,0,0,-1.8535916001035577,0,1,2,3,-1,-2,-3,0.020826000000000008,NaN,14198760,29233035.34,607509748.978579
1755269610,0.02027,0.02029,0.020178,0.020192,NaN,NaN,0,0,0,0,-2.0531199403754394,0,1,2,3,-1,-2,-3,0.02081700000000001,NaN,12361106,29147460.505,607933240.1206222
1755269640,0.020192,0.020197,0.019861,0.019952,NaN,NaN,0,0,0,0,-2.7628956445243764,0,1,2,3,-1,-2,-3,0.02080800000000001,NaN,41740365,29272741.815,607933240.1206222
1755269670,0.019951,0.020114,0.01995,0.020114,NaN,NaN,0,0,0,0,-2.095533201184983,0,1,2,3,-1,-2,-3,0.020799000000000012,NaN,18368087,29303490.755,609018959.5122061
1755269700,0.02011,0.020218,0.020041,0.020065,NaN,NaN,0,0,0,0,-2.1681033480618446,0,1,2,3,-1,-2,-3,0.020790000000000013,NaN,22167319,29273677.465,609018959.5122061
1755269730,0.02006,0.020065,0.019938,0.019973,NaN,NaN,0,0,0,0,-2.3803514159716186,0,1,2,3,-1,-2,-3,0.020781000000000015,NaN,20998776,29295356.04,609708870.499181
1755269760,0.019975,0.020085,0.019958,0.020007,NaN,NaN,0,0,0,0,-2.1776698674262054,0,1,2,3,-1,-2,-3,0.020772000000000016,NaN,19145607,29327648.6,609708870.499181
1755269790,0.02,0.020036,0.019985,0.020011,NaN,NaN,0,0,0,0,-2.092156960529289,0,1,2,3,-1,-2,-3,0.020763000000000018,NaN,13401604,29306460.745,610232963.7580581
1755269820,0.020011,0.020028,0.019885,0.019995,NaN,NaN,0,0,0,0,-2.077297067109757,0,1,2,3,-1,-2,-3,0.02075400000000002,NaN,18670024,29349715.85,610232963.7580581
1755269850,0.020002,0.020141,0.019964,0.019999,NaN,NaN,0,0,0,0,-1.9883542328208084,0,1,2,3,-1,-2,-3,0.02074500000000002,NaN,25844757,29408748.28,611023319.6830871
1755269880,0.019997,0.020072,0.01996,0.020025,NaN,NaN,0,0,0,0,-1.8355489802840361,0,1,2,3,-1,-2,-3,0.020736000000000022,NaN,13429857,29301778.53,611023319.6830871
1755269910,0.020004,0.0201,0.01997,0.020082,NaN,NaN,0,0,0,0,-1.6025075192577007,0,1,2,3,-1,-2,-3,0.020727000000000023,NaN,10258508,29150047.065,611417854.774555
1755269940,0.020082,0.020083,0.019803,0.01988,NaN,NaN,0,0,0,0,-2.1270564923151887,0,1,2,3,-1,-2,-3,0.020718000000000025,NaN,39301780,29271794.87,611417854.774555
1755269970,0.019887,0.019912,0.0198,0.019849,NaN,NaN,0,0,0,0,-2.1213698761936,0,1,2,3,-1,-2,-3,0.020709000000000026,NaN,16843174,29297729.685,612389454.8222771
1755270000,0.019851,0.019975,0.019842,0.019908,NaN,NaN,0,0,0,0,-1.8748583363515248,0,1,2,3,-1,-2,-3,0.020700000000000027,NaN,20519074,29333317.18,612389454.8222771
1755270030,0.019908,0.02006,0.019894,0.020038,NaN,NaN,0,0,0,0,-1.4576859450371311,0,1,2,3,-1,-2,-3,0.02069100000000003,NaN,27059791,29393493.29,613171068.589522
1755270060,0.020037,0.020124,0.019953,0.020121,NaN,NaN,0,0,0,0,-1.1885408884176338,0,1,2,3,-1,-2,-3,0.02068200000000003,NaN,24493606,29356446.375,613171068.589522
1755270090,0.020151,0.020151,0.020019,0.020057,NaN,NaN,0,0,0,0,-1.3309701360766162,0,1,2,3,-1,-2,-3,0.02067300000000003,NaN,18258444,29316083.39,613826708.856903
1755270120,0.020057,0.020127,0.020026,0.020092,NaN,NaN,0,0,0,0,-1.1987615356064028,0,1,2,3,-1,-2,-3,0.020664000000000033,NaN,13434492,29304620.835,613826708.856903
1755270150,0.0201,0.020228,0.020062,0.020207,NaN,NaN,0,0,0,0,-0.8533693623657261,0,1,2,3,-1,-2,-3,0.020655000000000034,NaN,27151249,29401689.66,614548142.412954
1755270180,0.020207,0.020228,0.020151,0.020205,NaN,NaN,0,0,0,0,-0.8357705366970847,0,1,2,3,-1,-2,-3,0.020646000000000036,NaN,15017121,29420019.12,614548142.412954
1755270210,0.020206,0.020274,0.020182,0.020191,NaN,NaN,0,0,0,0,-0.8519748010643612,0,1,2,3,-1,-2,-3,0.020637000000000037,NaN,15082235,29386539.925,615045447.9568709
1755270240,0.020192,0.020215,0.02015,0.0202,NaN,NaN,0,0,0,0,-0.804061202400921,0,1,2,3,-1,-2,-3,0.02062800000000004,NaN,9515868,29360430.45,615045447.9568709
1755270270,0.020216,0.020225,0.020054,0.020076,NaN,NaN,0,0,0,0,-1.1236327681173457,0,1,2,3,-1,-2,-3,0.02061900000000004,NaN,18634066,29377417.495,615471102.8113409
1755270300,0.020076,0.020125,0.019821,0.019848,NaN,NaN,0,0,0,0,-1.7068613303359284,0,1,2,3,-1,-2,-3,0.02061000000000004,NaN,34093262,29469764.205,615471102.8113409
1755270330,0.019855,0.019883,0.019659,0.0198,NaN,NaN,0,0,0,0,-1.7820834847875124,0,1,2,3,-1,-2,-3,0.020601000000000043,NaN,44265318,29633933.66,616950371.5160608
1755270360,0.0198,0.019881,0.019627,0.019679,NaN,NaN,0,0,0,0,-2.034145109788842,0,1,2,3,-1,-2,-3,0.020592000000000044,NaN,36340894,29708322.87,616950371.5160608
1755270390,0.019657,0.019672,0.019457,0.01953,NaN,NaN,0,0,0,0,-2.3155578203818,0,1,2,3,-1,-2,-3,0.020583000000000046,NaN,52074403,29904357.735,618590572.1495988
1755270420,0.019531,0.019584,0.019428,0.019433,NaN,NaN,0,0,0,0,-2.431144714661492,0,1,2,3,-1,-2,-3,0.020574000000000047,NaN,39257677,29960404.465,618590572.1495988
1755270450,0.019422,0.019464,0.019301,0.019432,NaN,NaN,0,0,0,0,-2.313000680288784,0,1,2,3,-1,-2,-3,0.02056500000000005,NaN,43505337,30085881.665,619965873.5343269
1755270480,0.019432,0.0195,0.019213,0.019498,NaN,NaN,0,0,0,0,-2.059899073616233,0,1,2,3,-1,-2,-3,0.02055600000000005,NaN,45448164,30200217.805,619965873.5343269
1755270510,0.019522,0.019678,0.019508,0.019619,NaN,NaN,0,0,0,0,-1.7139689240243168,0,1,2,3,-1,-2,-3,0.02054700000000005,NaN,45677579,30390451.81,621641340.955025
